held_out_year,n_test,r2,mae,rmse
2018,19,0.8883,0.08,0.113
2019,21,0.916,0.082,0.101
2020,21,0.7705,0.136,0.16
2021,25,0.5799,0.174,0.193
2022,26,-0.7742,0.402,0.427
2023,28,-1.9539,0.644,0.663
2024,24,-4.2729,0.805,0.822
