held_out_year,n_test,r2,mae,rmse
2018,19,-4.177,17.18,18.753
2019,22,-2.0568,17.667,20.568
2020,25,0.1165,7.187,9.826
2021,27,0.2464,6.45,7.836
2022,27,0.0517,5.091,6.722
2023,29,-0.2163,6.563,8.626
