held_out_year,n_test,r2,mae,rmse
2018,23,0.1731,5.527,7.428
2019,24,-2.3218,18.07,20.673
2020,26,0.1047,6.893,9.794
2021,27,-0.192,7.513,9.855
2022,28,-0.078,5.725,7.06
2023,29,-0.0705,6.352,8.092
