held_out_year,n_test,accuracy,auc
2018,19,0.8421,0.9167
2019,22,0.8182,0.8095
2020,25,0.56,0.5641
2021,27,0.6296,0.8778
2022,27,0.4444,0.6758
2023,29,0.6207,0.7157
2024,25,0.72,0.6667
