entity,year,avg_pagerank,max_pagerank,avg_degree_centrality,avg_momentum,windows_rising,windows_falling,net_momentum_signal,narrative_trend,network_type
D.C. United,2024,0.0214056,0.0366,0.46058199999999994,0.0009044000000000003,1,4,-3,falling,club_cooccurrence
FC Cincinnati,2018,0.024529750000000003,0.039869,0.3678775,0.0028035,1,1,0,stable,club_cooccurrence
FC Cincinnati,2019,0.0344728,0.048279,0.5876468,-0.0012696000000000005,3,2,1,stable,club_cooccurrence
FC Cincinnati,2020,0.021772800000000002,0.031793,0.39222799999999997,-7.139999999999993e-05,2,3,-1,stable,club_cooccurrence
FC Cincinnati,2021,0.025109799999999998,0.031712,0.4542326,0.0008786000000000002,2,2,0,stable,club_cooccurrence
FC Cincinnati,2022,0.0244374,0.033271,0.4582416,-0.00016420000000000025,2,1,1,stable,club_cooccurrence
FC Cincinnati,2023,0.0394606,0.068512,0.5571428,0.011180200000000001,3,2,1,stable,club_cooccurrence
FC Cincinnati,2024,0.0355018,0.053059,0.5968254,-0.0077598,1,4,-3,falling,club_cooccurrence
FC Dallas,2018,0.0328488,0.062882,0.509584,0.0041611999999999994,2,1,1,stable,club_cooccurrence
FC Dallas,2019,0.0468448,0.070385,0.6852422,0.0007993999999999998,3,1,2,rising,club_cooccurrence
FC Dallas,2020,0.0357342,0.047615,0.4843192,-0.006593000000000002,0,3,-3,falling,club_cooccurrence
FC Dallas,2021,0.023352400000000002,0.035144,0.35965600000000003,-0.0033222,1,3,-2,falling,club_cooccurrence
FC Dallas,2022,0.0356514,0.046377,0.6361824,0.0078848,4,0,4,rising,club_cooccurrence
FC Dallas,2023,0.024148,0.041457,0.5142858,-0.0051374,1,3,-2,falling,club_cooccurrence
FC Dallas,2024,0.0236678,0.054763,0.44444439999999996,-0.003115599999999999,2,3,-1,stable,club_cooccurrence
Houston Dynamo FC,2018,0.0413638,0.077173,0.632866,0.003918200000000001,2,2,0,stable,club_cooccurrence
Houston Dynamo FC,2019,0.02720475,0.032519,0.57905975,-0.008696,2,2,0,stable,club_cooccurrence
Houston Dynamo FC,2020,0.021612799999999998,0.027534,0.39282059999999996,-0.0028858,1,3,-2,falling,club_cooccurrence
Houston Dynamo FC,2021,0.033119600000000006,0.069562,0.45423280000000005,0.0023220000000000007,3,2,1,stable,club_cooccurrence
Houston Dynamo FC,2022,0.0157216,0.025674,0.364937,-0.0057958,0,4,-4,falling,club_cooccurrence
Houston Dynamo FC,2023,0.0323406,0.045738,0.5571428,0.0105372,5,0,5,rising,club_cooccurrence
Houston Dynamo FC,2024,0.020679999999999997,0.025403,0.44629599999999997,-0.0071194000000000006,1,3,-2,falling,club_cooccurrence
Inter Miami CF,2018,0.029441600000000002,0.033093,0.41639879999999996,-0.0007903999999999999,1,2,-1,stable,club_cooccurrence
Inter Miami CF,2019,0.0327854,0.042552,0.5059944,0.0013079999999999997,3,2,1,stable,club_cooccurrence
Inter Miami CF,2020,0.043236,0.04847,0.6152252,0.0050834,4,1,3,rising,club_cooccurrence
Inter Miami CF,2021,0.0320298,0.042459,0.4194444,-0.0059838,0,3,-3,falling,club_cooccurrence
Inter Miami CF,2022,0.0429624,0.060485,0.623667,0.005988200000000001,3,2,1,stable,club_cooccurrence
Inter Miami CF,2023,0.077068,0.121845,0.8,0.0161854,3,2,1,stable,club_cooccurrence
Inter Miami CF,2024,0.0699594,0.082486,0.7624340000000001,-0.0051418,1,3,-2,falling,club_cooccurrence
LA Galaxy,2018,0.0668282,0.078418,0.7468492,0.0009211999999999998,3,1,2,rising,club_cooccurrence
LA Galaxy,2019,0.0547932,0.061329,0.7416982,-0.0020416,2,2,0,stable,club_cooccurrence
LA Galaxy,2020,0.0449716,0.087487,0.5710198,-0.013432,1,4,-3,falling,club_cooccurrence
LA Galaxy,2021,0.0381752,0.046826,0.5502646,0.0075738,4,1,3,rising,club_cooccurrence
LA Galaxy,2022,0.0561894,0.07627,0.7062274000000001,0.0040418,3,2,1,stable,club_cooccurrence
LA Galaxy,2023,0.0484798,0.065922,0.7500002,-0.0043082,1,3,-2,falling,club_cooccurrence
LA Galaxy,2024,0.0458938,0.081945,0.6203704,0.0070692,3,2,1,stable,club_cooccurrence
LAFC,2018,0.0399756,0.062788,0.5520342,-0.0042632,1,3,-2,falling,club_cooccurrence
LAFC,2019,0.048880400000000004,0.097336,0.6756924,0.0150338,3,2,1,stable,club_cooccurrence
LAFC,2020,0.0572344,0.083378,0.6163648,-0.0085208,1,4,-3,falling,club_cooccurrence
LAFC,2021,0.03261025,0.05648,0.4917325,-0.010731000000000001,1,3,-2,falling,club_cooccurrence
LAFC,2022,0.055361799999999996,0.101899,0.6782256,0.0187546,3,2,1,stable,club_cooccurrence
LAFC,2023,0.0662486,0.087841,0.8142856,-0.0007314000000000001,1,2,-1,stable,club_cooccurrence
LAFC,2024,0.0475426,0.062896,0.6772488,-0.0066832,2,3,-1,stable,club_cooccurrence
Minnesota United FC,2018,0.034706,0.059161,0.49222780000000005,-0.0025682000000000005,2,2,0,stable,club_cooccurrence
Minnesota United FC,2019,0.0273594,0.037715,0.5115784,0.0011674,2,3,-1,stable,club_cooccurrence
Minnesota United FC,2020,0.03332500000000001,0.049383,0.502473,0.0049066,2,1,1,stable,club_cooccurrence
Minnesota United FC,2021,0.029833199999999997,0.060888,0.35277780000000003,-0.0083336,2,3,-1,stable,club_cooccurrence
Minnesota United FC,2022,0.021328800000000002,0.03307,0.43255999999999994,-0.0015298000000000002,1,4,-3,falling,club_cooccurrence
Minnesota United FC,2023,0.0197382,0.030316,0.4642856,0.0009271999999999999,3,2,1,stable,club_cooccurrence
Minnesota United FC,2024,0.0316384,0.035639,0.5685186,0.005835999999999999,3,0,3,rising,club_cooccurrence
Nashville SC,2018,0.020077,0.026661,0.3331168,0.0008828000000000001,2,2,0,stable,club_cooccurrence
Nashville SC,2019,0.030391800000000004,0.047532,0.4399430000000001,0.002153999999999999,3,2,1,stable,club_cooccurrence
Nashville SC,2020,0.0485728,0.063931,0.5853106,0.0037696000000000006,3,2,1,stable,club_cooccurrence
Nashville SC,2021,0.0293024,0.037082,0.4609788,-0.0035838000000000003,2,3,-1,stable,club_cooccurrence
Nashville SC,2022,0.0323612,0.036335,0.578551,0.0008798,3,2,1,stable,club_cooccurrence
Nashville SC,2023,0.0328532,0.058047,0.5928570000000001,0.0021918000000000007,2,2,0,stable,club_cooccurrence
Nashville SC,2024,0.038296000000000004,0.064337,0.6335978,-0.003637799999999999,2,3,-1,stable,club_cooccurrence
New England Revolution,2018,0.0246494,0.029372,0.4406836,0.0007980000000000001,1,1,0,stable,club_cooccurrence
New England Revolution,2019,0.03452375,0.052085,0.62713675,0.005440250000000001,2,2,0,stable,club_cooccurrence
New England Revolution,2020,0.01994925,0.021749,0.35851849999999996,-0.0049015000000000005,1,1,0,stable,club_cooccurrence
New England Revolution,2021,0.0482575,0.060047,0.6669975,0.0145955,3,1,2,rising,club_cooccurrence
New England Revolution,2022,0.0239608,0.036526,0.44017080000000003,-0.0150064,0,5,-5,falling,club_cooccurrence
New England Revolution,2023,0.0331274,0.040231,0.5999998,0.0064168,4,1,3,rising,club_cooccurrence
New England Revolution,2024,0.026195999999999997,0.031452,0.5190476,-0.0021964,1,3,-2,falling,club_cooccurrence
New York City FC,2018,0.032038,0.055971,0.5493788000000001,-0.0052144,1,3,-2,falling,club_cooccurrence
New York City FC,2019,0.030958999999999997,0.046907,0.584695,0.0052856,3,2,1,stable,club_cooccurrence
New York City FC,2020,0.0262498,0.037202,0.4750884,-0.006080199999999999,2,3,-1,stable,club_cooccurrence
New York City FC,2021,0.0485836,0.079175,0.5394178000000001,0.013517199999999998,3,2,1,stable,club_cooccurrence
New York City FC,2022,0.0448156,0.054258,0.6601142,-0.004554000000000001,2,3,-1,stable,club_cooccurrence
New York City FC,2023,0.0406026,0.052254,0.6714287999999999,-0.0024891999999999996,1,2,-1,stable,club_cooccurrence
New York City FC,2024,0.045356799999999996,0.064214,0.6193124,0.0034514000000000003,4,1,3,rising,club_cooccurrence
New York Red Bulls,2018,0.049040600000000004,0.054906,0.6621426,0.0025995999999999997,3,1,2,rising,club_cooccurrence
