club,year,player_count,total_payroll,avg_salary,median_salary,max_salary
Nashville SC,2019,2,169691.0,84845.0,84845.0,91625.0
Nashville SC,2021,34,12766244.0,375478.0,180750.0,1505000.0
Nashville SC,2022,30,14145780.0,471526.0,246125.0,2345214.0
Nashville SC,2023,30,16990388.0,566346.0,261000.0,3188750.0
Nashville SC,2024,30,21864490.0,728816.0,345000.0,5211667.0
New England Revolution,2018,27,7471669.0,276728.0,150512.0,1370268.0
New England Revolution,2019,26,10658217.0,409931.0,179104.0,2337500.0
New England Revolution,2023,33,17013587.0,515563.0,251583.0,3545833.0
New England Revolution,2024,32,18883233.0,590101.0,428125.0,4452083.0
New York City FC,2018,29,14824391.0,511186.0,250008.0,5610000.0
New York City FC,2019,28,10415587.0,371985.0,237403.0,2000000.0
New York City FC,2021,30,15163891.0,505463.0,314350.0,3285000.0
New York City FC,2023,34,14965285.0,440155.0,276640.0,2112000.0
New York City FC,2024,32,16243559.0,507611.0,330092.0,2462000.0
New York Red Bulls,2018,31,8064992.0,260161.0,115935.0,1635000.0
New York Red Bulls,2019,29,8668934.0,298929.0,127750.0,1380000.0
New York Red Bulls,2021,32,9976295.0,311759.0,260625.0,1135000.0
New York Red Bulls,2023,32,11331027.0,354095.0,189812.0,1459767.0
New York Red Bulls,2024,30,18083549.0,602785.0,322625.0,6035625.0
Orlando City SC,2018,30,8873899.0,295797.0,157000.0,1383333.0
Orlando City SC,2019,30,12573226.0,419108.0,180000.0,2486250.0
Orlando City SC,2021,33,11681764.0,353993.0,188500.0,2486250.0
Orlando City SC,2022,30,11956012.0,398534.0,299245.0,1860000.0
Orlando City SC,2023,29,9316730.0,321267.0,195500.0,1009333.0
Orlando City SC,2024,33,17493932.0,530119.0,305900.0,4336150.0
Philadelphia Union,2018,29,8914582.0,307399.0,120762.0,1714286.0
Philadelphia Union,2019,29,9854738.0,339819.0,173667.0,2274087.0
Philadelphia Union,2021,35,10565997.0,301886.0,135556.0,1476250.0
Philadelphia Union,2023,28,13419282.0,479260.0,243500.0,1940000.0
Philadelphia Union,2024,33,13813718.0,418598.0,226533.0,2040000.0
Portland Timbers,2018,31,10994793.0,354671.0,150000.0,2380000.0
Portland Timbers,2019,27,12553916.0,464960.0,170004.0,2853341.0
Portland Timbers,2021,29,11980061.0,413106.0,240000.0,2313333.0
Portland Timbers,2023,30,16215874.0,540529.0,398746.0,2230000.0
Portland Timbers,2024,24,15407617.0,641984.0,499188.0,2627500.0
Real Salt Lake,2018,31,8132416.0,262336.0,173250.0,1013333.0
Real Salt Lake,2019,31,11117789.0,358638.0,207000.0,2001667.0
Real Salt Lake,2021,33,12659495.0,383621.0,153458.0,2351667.0
Real Salt Lake,2022,37,14609198.0,394843.0,200000.0,2224292.0
Real Salt Lake,2023,36,14285938.0,396832.0,195950.0,2088746.0
Real Salt Lake,2024,41,16066481.0,391865.0,209667.0,2088746.0
San Jose Earthquakes,2018,30,8308343.0,276945.0,169000.0,1454042.0
San Jose Earthquakes,2019,31,10619980.0,342580.0,235000.0,1604042.0
San Jose Earthquakes,2021,31,11036928.0,356030.0,225000.0,1265000.0
San Jose Earthquakes,2023,33,14600008.0,442424.0,250000.0,1571086.0
San Jose Earthquakes,2024,33,14634037.0,443456.0,300000.0,2002000.0
Seattle Sounders FC,2018,27,11777648.0,436209.0,196042.0,2302500.0
Seattle Sounders FC,2019,28,13678414.0,488515.0,347917.0,2502500.0
Seattle Sounders FC,2021,30,13588370.0,452946.0,174637.0,2736667.0
Seattle Sounders FC,2023,29,19185352.0,661564.0,217500.0,3256667.0
Seattle Sounders FC,2024,28,16680315.0,595726.0,304950.0,2729120.0
Sporting Kansas City,2018,29,11554237.0,398422.0,200000.0,1650000.0
Sporting Kansas City,2019,29,12070676.0,416230.0,183667.0,1650000.0
Sporting Kansas City,2021,30,14129111.0,470970.0,237500.0,2200000.0
Sporting Kansas City,2023,31,14979335.0,483204.0,325000.0,2200000.0
Sporting Kansas City,2024,27,16313140.0,604190.0,450000.0,3866667.0
St. Louis City SC,2023,31,11186787.0,360864.0,112833.0,1632469.0
St. Louis City SC,2024,32,15484335.0,483885.0,289625.0,2183113.0
Toronto FC,2018,29,26559207.0,915835.0,209825.0,7115556.0
Toronto FC,2019,32,24267066.0,758346.0,214135.0,6500000.0
Toronto FC,2021,32,19271292.0,602228.0,192233.0,4693000.0
Toronto FC,2022,29,32234728.0,1111542.0,313583.0,14000000.0
Toronto FC,2023,29,31672886.0,1092168.0,301500.0,15400000.0
Toronto FC,2024,31,31808632.0,1026085.0,216378.0,15400000.0
Vancouver Whitecaps FC,2018,31,8107770.0,261541.0,159829.0,1000000.0
Vancouver Whitecaps FC,2019,30,8152130.0,271738.0,147151.0,1277500.0
Vancouver Whitecaps FC,2021,36,10962821.0,304523.0,166250.0,2025000.0
Vancouver Whitecaps FC,2023,29,13626865.0,469892.0,297233.0,2505000.0
Vancouver Whitecaps FC,2024,29,17414357.0,600495.0,381125.0,2985000.0
