club,year,avg_search_interest,max_search_interest,weeks_above_50
New York Red Bulls,2024,10.92,14.0,0
Orlando City SC,2018,0.75,1.0,0
Orlando City SC,2019,0.5,1.0,0
Orlando City SC,2020,0.42,1.0,0
Orlando City SC,2021,0.75,1.0,0
Orlando City SC,2022,0.83,2.0,0
Orlando City SC,2023,1.33,2.0,0
Orlando City SC,2024,2.17,4.0,0
Philadelphia Union,2018,7.58,11.0,0
Philadelphia Union,2019,8.42,13.0,0
Philadelphia Union,2020,4.83,9.0,0
Philadelphia Union,2021,8.83,14.0,0
Philadelphia Union,2022,13.17,34.0,0
Philadelphia Union,2023,15.17,40.0,0
Philadelphia Union,2024,11.5,25.0,0
Portland Timbers,2018,34.58,70.0,1
Portland Timbers,2019,27.58,52.0,1
Portland Timbers,2020,15.67,37.0,0
Portland Timbers,2021,23.83,64.0,1
Portland Timbers,2022,19.5,28.0,0
Portland Timbers,2023,20.67,33.0,0
Portland Timbers,2024,20.92,37.0,0
Real Salt Lake,2018,18.92,35.0,0
Real Salt Lake,2019,17.33,35.0,0
Real Salt Lake,2020,11.58,24.0,0
Real Salt Lake,2021,19.58,42.0,0
Real Salt Lake,2022,21.83,42.0,0
Real Salt Lake,2023,29.33,72.0,1
Real Salt Lake,2024,31.17,63.0,1
San Jose Earthquakes,2018,13.25,30.0,0
San Jose Earthquakes,2019,15.33,26.0,0
San Jose Earthquakes,2020,7.67,17.0,0
San Jose Earthquakes,2021,11.42,20.0,0
San Jose Earthquakes,2022,11.25,18.0,0
San Jose Earthquakes,2023,14.08,26.0,0
San Jose Earthquakes,2024,13.58,28.0,0
Seattle Sounders FC,2018,4.42,9.0,0
Seattle Sounders FC,2019,5.25,13.0,0
Seattle Sounders FC,2020,2.58,8.0,0
Seattle Sounders FC,2021,2.75,7.0,0
Seattle Sounders FC,2022,3.58,8.0,0
Seattle Sounders FC,2023,6.58,13.0,0
Seattle Sounders FC,2024,6.92,13.0,0
Sporting Kansas City,2018,3.5,6.0,0
Sporting Kansas City,2019,2.75,5.0,0
Sporting Kansas City,2020,2.5,4.0,0
Sporting Kansas City,2021,2.75,4.0,0
Sporting Kansas City,2022,2.75,4.0,0
Sporting Kansas City,2023,3.75,5.0,0
Sporting Kansas City,2024,3.25,5.0,0
St. Louis City SC,2018,0.0,0.0,0
St. Louis City SC,2019,0.0,0.0,0
St. Louis City SC,2020,0.0,0.0,0
St. Louis City SC,2021,0.0,0.0,0
St. Louis City SC,2022,0.17,1.0,0
St. Louis City SC,2023,3.08,5.0,0
St. Louis City SC,2024,2.67,12.0,0
Toronto FC,2018,13.42,64.0,1
Toronto FC,2019,11.25,34.0,0
Toronto FC,2020,5.92,18.0,0
Toronto FC,2021,6.42,20.0,0
Toronto FC,2022,6.33,14.0,0
Toronto FC,2023,6.33,11.0,0
Toronto FC,2024,7.58,14.0,0
Vancouver Whitecaps FC,2018,0.25,1.0,0
Vancouver Whitecaps FC,2019,0.33,1.0,0
Vancouver Whitecaps FC,2020,0.17,1.0,0
Vancouver Whitecaps FC,2021,0.5,1.0,0
Vancouver Whitecaps FC,2022,0.58,2.0,0
Vancouver Whitecaps FC,2023,1.42,2.0,0
Vancouver Whitecaps FC,2024,2.58,5.0,0
