club,year,home_games,avg_attendance,total_attendance
Philadelphia Union,2021,17,11385.0,193552
Philadelphia Union,2022,17,18126.0,308146
Philadelphia Union,2023,17,18907.0,321425
Philadelphia Union,2024,17,18845.0,320369
Portland Timbers FC,2018,17,21144.0,359448
Portland Timbers FC,2019,17,25218.0,428706
Portland Timbers FC,2020,12,4228.0,50736
Portland Timbers FC,2021,17,15025.0,255422
Portland Timbers FC,2022,17,23841.0,405305
Portland Timbers FC,2023,17,23103.0,392744
Portland Timbers FC,2024,17,22485.0,382240
Real Salt Lake,2018,17,18605.0,316286
Real Salt Lake,2019,17,18121.0,308050
Real Salt Lake,2020,13,3693.0,48012
Real Salt Lake,2021,17,14819.0,251925
Real Salt Lake,2022,17,20470.0,347991
Real Salt Lake,2023,17,19429.0,330290
Real Salt Lake,2024,17,19131.0,325235
San Jose Earthquakes,2018,17,19032.0,323547
San Jose Earthquakes,2019,17,18781.0,319272
San Jose Earthquakes,2020,11,2748.0,30223
San Jose Earthquakes,2021,17,9132.0,155239
San Jose Earthquakes,2022,17,15260.0,259416
San Jose Earthquakes,2023,17,18412.0,313003
San Jose Earthquakes,2024,17,17501.0,297509
Seattle Sounders FC,2018,17,40641.0,690893
Seattle Sounders FC,2019,17,40247.0,684192
Seattle Sounders FC,2020,12,6100.0,73206
Seattle Sounders FC,2021,17,25125.0,427121
Seattle Sounders FC,2022,17,31565.0,536597
Seattle Sounders FC,2023,17,32161.0,546744
Seattle Sounders FC,2024,17,28818.0,489907
Sporting Kansas City,2018,17,19950.0,339148
Sporting Kansas City,2019,17,18601.0,316211
Sporting Kansas City,2020,11,1926.0,21188
Sporting Kansas City,2021,17,15442.0,262522
Sporting Kansas City,2022,17,18365.0,312199
Sporting Kansas City,2023,17,18616.0,316474
Sporting Kansas City,2024,17,21193.0,360279
St. Louis City SC,2023,17,22423.0,381191
St. Louis City SC,2024,17,21136.0,359307
Toronto FC,2018,17,26628.0,452675
Toronto FC,2019,17,25048.0,425816
Toronto FC,2020,12,2297.0,27565
Toronto FC,2021,17,4181.0,71080
Toronto FC,2022,17,25423.0,432190
Toronto FC,2023,17,25310.0,430263
Toronto FC,2024,17,25681.0,436582
Vancouver Whitecaps FC,2018,17,21946.0,373089
Vancouver Whitecaps FC,2019,17,19514.0,331745
Vancouver Whitecaps FC,2020,11,2011.0,22120
Vancouver Whitecaps FC,2021,17,2992.0,50869
Vancouver Whitecaps FC,2022,17,16399.0,278790
Vancouver Whitecaps FC,2023,17,16745.0,284661
Vancouver Whitecaps FC,2024,17,26121.0,444064
