club,year,games,goals_for,goals_against,xgoals_for,xgoals_against,xgoal_difference,gd_minus_xgd,points,xpoints
Sporting Kansas City,2020,25,41,32,40.3598,27.1931,13.1668,-4.1668,41,35.169
Toronto FC,2020,25,34,29,36.1562,31.6853,4.4709,0.5291,44,38.114
Vancouver Whitecaps FC,2020,24,24,41,24.5455,39.333,-14.7874,-2.2126,28,24.837
Atlanta United FC,2021,35,42,39,44.2038,45.9276,-1.7238,4.7238,51,45.64
Austin FC,2021,34,34,55,41.2549,53.4867,-12.2319,-8.7681,31,40.602
CF Montréal,2021,34,45,42,45.2905,39.0487,6.2418,-3.2418,46,51.747
Chicago Fire FC,2021,34,34,51,39.5542,50.644,-11.0897,-5.9103,34,39.333
Colorado Rapids,2021,35,50,35,44.9057,41.106,3.7997,11.2003,61,49.579
Columbus Crew,2021,34,41,45,40.019,45.2635,-5.2444,1.2444,47,41.968
D.C. United,2021,34,55,49,51.5344,37.5363,13.9981,-7.9981,47,56.465
FC Cincinnati,2021,34,36,73,37.7403,57.2893,-19.549,-17.451,20,33.887
FC Dallas,2021,34,46,55,44.3156,50.1615,-5.8458,-3.1542,33,42.559
Houston Dynamo FC,2021,34,34,51,39.6609,46.7079,-7.0471,-9.9529,30,40.988
Inter Miami CF,2021,34,35,51,33.2141,48.0962,-14.882,-1.118,41,37.38
LA Galaxy,2021,34,47,52,48.43,47.991,0.439,-5.439,48,45.983
Los Angeles FC,2021,34,51,51,57.986,36.5808,21.4051,-21.4051,45,59.956
Minnesota United FC,2021,35,42,45,50.8961,42.5438,8.3523,-11.3523,49,54.299
Nashville SC,2021,36,58,33,47.7445,38.7441,9.0004,15.9996,58,53.781
New England Revolution,2021,35,64,42,56.5017,46.3395,10.1622,11.8378,74,53.525
New York City FC,2021,38,62,38,59.3223,37.4976,21.8247,2.1753,59,60.208
New York Red Bulls,2021,35,39,34,47.4375,37.8788,9.5587,-4.5587,48,54.513
Orlando City SC,2021,35,50,48,44.0854,42.8178,1.2676,0.7324,51,47.845
Philadelphia Union,2021,37,47,35,48.5411,42.8093,5.7319,6.2681,58,49.395
Portland Timbers FC,2021,38,61,53,54.343,61.3152,-6.9721,14.9721,65,39.418
Real Salt Lake,2021,37,56,54,46.5083,53.4353,-6.927,8.927,52,44.368
San Jose Earthquakes,2021,34,42,51,46.5842,59.9253,-13.3411,4.3411,41,38.923
Seattle Sounders FC,2021,35,53,32,48.038,35.0276,13.0104,7.9896,61,54.964
Sporting Kansas City,2021,36,62,43,53.6967,45.9645,7.7322,11.2678,61,50.82
Toronto FC,2021,34,37,64,39.0191,54.3505,-15.3314,-11.6686,28,35.744
Vancouver Whitecaps FC,2021,35,44,46,39.7725,52.1114,-12.3389,10.3389,49,39.819
Atlanta United FC,2022,34,48,54,54.0216,49.41,4.6116,-10.6116,40,51.04
Austin FC,2022,37,68,53,52.9983,57.7071,-4.7088,19.7088,60,42.467
CF Montréal,2022,36,64,51,54.867,37.7741,17.0929,-4.0929,68,56.45
Charlotte FC,2022,34,42,51,40.9898,43.31,-2.3202,-6.6798,42,44.972
Chicago Fire FC,2022,34,39,47,44.3375,46.7092,-2.3717,-5.6283,39,45.758
Colorado Rapids,2022,34,46,57,50.1561,50.6857,-0.5296,-10.4704,43,48.334
Columbus Crew,2022,34,46,39,38.5314,41.6052,-3.0738,10.0738,46,45.267
D.C. United,2022,34,36,68,37.329,53.4993,-16.1703,-15.8297,27,36.837
FC Cincinnati,2022,36,62,57,60.3848,50.7903,9.5946,-4.5946,52,52.1
FC Dallas,2022,36,48,40,43.0226,46.0298,-3.0071,11.0071,54,43.994
Houston Dynamo FC,2022,34,43,54,42.4758,54.0026,-11.5268,0.5268,36,38.79
Inter Miami CF,2022,35,46,58,43.8593,51.0348,-7.1755,-4.8245,48,42.153
LA Galaxy,2022,36,60,54,54.9256,49.0042,5.9215,0.0785,53,51.571
Los Angeles FC,2022,37,73,41,67.4672,38.7649,28.7023,3.2977,74,64.141
Minnesota United FC,2022,35,47,48,44.6732,49.0542,-4.381,3.381,49,46.3
Nashville SC,2022,35,52,42,53.2628,42.4893,10.7734,-0.7734,50,55.454
New England Revolution,2022,34,47,48,43.2295,53.9012,-10.6718,9.6718,42,40.961
New York City FC,2022,37,63,43,63.4253,43.8654,19.5599,0.4401,61,56.579
New York Red Bulls,2022,35,49,43,49.0205,40.0253,8.9952,-2.9952,53,53.088
Orlando City SC,2022,35,42,54,39.5569,47.4152,-7.8583,-4.1417,48,41.432
Philadelphia Union,2022,37,77,30,65.1158,41.7803,23.3355,23.6645,74,58.359
Portland Timbers FC,2022,34,52,51,49.782,53.4654,-3.6833,4.6833,46,44.009
Real Salt Lake,2022,35,45,47,45.051,48.9268,-3.8758,1.8758,48,47.201
San Jose Earthquakes,2022,34,52,69,44.1635,58.1174,-13.9539,-3.0461,35,38.659
Seattle Sounders FC,2022,34,44,46,44.4402,50.779,-6.3388,4.3388,41,42.657
Sporting Kansas City,2022,34,40,53,39.249,43.442,-4.193,-8.807,40,42.917
Toronto FC,2022,34,48,64,43.0312,56.3247,-13.2934,-2.7066,34,39.158
Vancouver Whitecaps FC,2022,34,40,57,38.5314,47.985,-9.4536,-7.5464,43,40.007
Atlanta United FC,2023,37,70,60,50.6733,52.8002,-2.1269,12.1269,54,45.018
Austin FC,2023,34,48,54,41.1005,49.8913,-8.7908,2.7908,39,40.329
CF Montréal,2023,34,33,49,38.2796,46.57,-8.2905,-7.7095,41,41.771
Charlotte FC,2023,35,45,55,37.7893,50.472,-12.6828,2.6828,43,36.439
Chicago Fire FC,2023,34,36,49,37.3267,51.0835,-13.7568,0.7568,40,37.648
Colorado Rapids,2023,34,26,54,36.0874,45.1625,-9.0751,-18.9249,27,42.458
Columbus Crew,2023,40,77,54,68.7835,47.5708,21.2127,1.7873,72,57.7
D.C. United,2023,34,44,48,47.8548,41.8608,5.994,-9.994,40,49.221
FC Cincinnati,2023,38,63,40,61.3186,43.6972,17.6214,5.3786,76,60.119
FC Dallas,2023,37,44,37,42.3004,43.8857,-1.5854,8.5854,49,46.711
Houston Dynamo FC,2023,39,56,41,50.1965,48.238,1.9584,13.0416,59,46.621
Inter Miami CF,2023,34,41,51,37.865,52.6996,-14.8347,4.8347,34,36.779
LA Galaxy,2023,34,50,65,51.4057,51.8293,-0.4236,-14.5764,36,46.608
Los Angeles FC,2023,39,62,42,59.7007,42.9746,16.7261,3.2739,64,57.109
Minnesota United FC,2023,34,43,50,54.1331,47.3324,6.8007,-13.8007,41,52.292
Nashville SC,2023,36,38,33,42.0653,40.1261,1.9392,3.0608,49,48.265
New England Revolution,2023,36,56,49,45.359,52.1832,-6.8241,13.8241,55,44.604
New York City FC,2023,34,34,38,39.9,35.4201,4.4799,-8.4799,41,48.739
New York Red Bulls,2023,37,41,43,50.6262,37.9314,12.6948,-14.6948,47,56.607
Orlando City SC,2023,37,56,40,46.9798,44.8004,2.1794,13.8206,69,47.804
Philadelphia Union,2023,37,58,40,54.7279,48.2367,6.4912,11.5088,61,48.55
Portland Timbers FC,2023,34,45,55,42.1704,44.3864,-2.216,-7.784,43,46.024
Real Salt Lake,2023,37,51,53,43.8496,52.7987,-8.9491,6.9491,52,43.126
San Jose Earthquakes,2023,35,38,43,40.3023,49.3864,-9.0841,4.0841,45,40.653
Seattle Sounders FC,2023,38,42,34,51.7878,36.2171,15.5707,-7.5707,59,55.86
Sporting Kansas City,2023,38,53,54,45.537,47.8624,-2.3254,1.3254,51,43.354
St. Louis City SC,2023,36,61,49,45.3194,49.1206,-3.8012,15.8012,56,44.726
Toronto FC,2023,34,26,57,32.6976,54.3062,-21.6085,-9.3915,22,33.937
Vancouver Whitecaps FC,2023,36,53,53,57.5814,44.8749,12.7065,-12.7065,48,54.741
Atlanta United FC,2024,39,53,56,61.2377,58.7381,2.4995,-5.4995,47,51.291
Austin FC,2024,34,39,48,39.5264,57.3357,-17.8093,8.8093,42,34.241
CF Montréal,2024,35,48,65,46.7082,60.9102,-14.2021,-2.7979,44,38.861
Charlotte FC,2024,37,46,40,51.6254,50.4169,1.2085,4.7915,53,49.095
Chicago Fire FC,2024,34,40,61,48.0943,51.5267,-3.4324,-17.5676,30,45.181
Colorado Rapids,2024,36,58,67,61.0503,56.1068,4.9435,-13.9435,50,53.349
Columbus Crew,2024,36,74,43,59.9773,47.2686,12.7088,18.2912,67,55.549
D.C. United,2024,34,52,68,55.7236,50.3893,5.3343,-21.3343,40,49.572
FC Cincinnati,2024,37,59,49,59.5079,44.4166,15.0913,-5.0913,63,54.963
FC Dallas,2024,34,51,54,42.897,57.4956,-14.5986,11.5986,41,37.43
Houston Dynamo FC,2024,36,45,39,46.8734,48.6334,-1.76,7.76,56,46.221
Inter Miami CF,2024,37,83,53,58.0354,58.2743,-0.2389,30.2389,77,44.221
LA Galaxy,2024,39,86,53,72.6379,58.0628,14.575,18.425,79,50.674
Los Angeles FC,2024,38,66,43,65.8259,46.9368,18.8891,4.1109,70,56.913
Minnesota United FC,2024,37,58,55,56.4638,53.8383,2.6256,0.3744,54,50.66
Nashville SC,2024,34,37,51,45.1935,51.3944,-6.2008,-7.7992,36,43.71
New England Revolution,2024,34,36,74,37.5271,63.0533,-25.5262,-12.4738,31,32.719
New York City FC,2024,38,57,53,59.1529,57.1713,1.9816,2.0184,54,49.075
New York Red Bulls,2024,39,60,52,61.9512,53.4337,8.5175,-0.5175,57,55.678
Orlando City SC,2024,39,60,52,56.9572,50.6916,6.2657,1.7343,60,49.919
Philadelphia Union,2024,34,62,53,56.2298,54.1119,2.1179,6.8821,37,47.948
Portland Timbers FC,2024,35,64,59,56.8832,52.4725,4.4108,0.5892,47,49.643
Real Salt Lake,2024,36,64,48,58.019,48.4947,9.5243,6.4757,61,53.081
San Jose Earthquakes,2024,34,39,77,43.8586,58.4697,-14.6111,-23.3889,21,37.577
Seattle Sounders FC,2024,38,51,37,52.2787,45.3669,6.9117,7.0883,62,52.326
Sporting Kansas City,2024,34,51,62,45.8535,52.6724,-6.8189,-4.1811,31,41.375
St. Louis City SC,2024,34,47,59,50.1924,58.3246,-8.1322,-3.8678,37,42.157
Toronto FC,2024,34,38,60,42.4904,49.2843,-6.7939,-15.2061,37,41.564
Vancouver Whitecaps FC,2024,38,57,50,55.0503,52.5312,2.5191,4.4809,53,48.487
